Local time,Open,High,Low,Close,Volume
25.05.2022 03:30:00.000 GMT+0430,32031.289,32058.247,32004.789,32016.799,0.135
25.05.2022 04:30:00.000 GMT+0430,32016.717,32016.717,31915.749,31965.799,0.3724
25.05.2022 05:30:00.000 GMT+0430,31965.757,32005.797,31961.789,31997.709,0.3379
25.05.2022 06:30:00.000 GMT+0430,31998.279,32039.259,31980.699,32004.719,0.2662
25.05.2022 07:30:00.000 GMT+0430,32004.289,32085.297,32003.709,32071.239,0.1749
25.05.2022 08:30:00.000 GMT+0430,32071.769,32072.499,32032.199,32038.239,0.1387
25.05.2022 09:30:00.000 GMT+0430,32038.277,32062.997,32004.759,32021.999,0.2235
25.05.2022 10:30:00.000 GMT+0430,32021.797,32075.297,31949.729,32067.799,0.2307
25.05.2022 11:30:00.000 GMT+0430,32068.709,32070.099,31952.039,31960.497,0.4126
25.05.2022 12:30:00.000 GMT+0430,31959.589,31970.589,31871.029,31898.529,0.3218
25.05.2022 13:30:00.000 GMT+0430,31899.027,31938.799,31833.499,31927.059,0.2979
25.05.2022 14:30:00.000 GMT+0430,31927.037,31947.539,31836.079,31840.017,0.2607
25.05.2022 15:30:00.000 GMT+0430,31839.299,31875.087,31746.999,31798.529,2.1956
25.05.2022 16:30:00.000 GMT+0430,31798.497,31819.599,31726.569,31812.069,2.1435
25.05.2022 17:30:00.000 GMT+0430,31812.087,32000.499,31758.219,31957.199,3.7765
25.05.2022 18:30:00.000 GMT+0430,31958.259,32149.739,31924.279,32060.747,4.7924
25.05.2022 19:30:00.000 GMT+0430,32060.229,32065.999,31886.709,31965.779,4.2706
25.05.2022 20:30:00.000 GMT+0430,31966.789,32007.287,31799.699,31897.739,3.5679
25.05.2022 21:30:00.000 GMT+0430,31898.709,31940.999,31814.799,31880.749,3.5875
25.05.2022 22:30:00.000 GMT+0430,31880.697,32136.799,31745.199,32117.227,5.4521
25.05.2022 23:30:00.000 GMT+0430,32117.789,32255.999,32057.779,32133.799,4.6796
26.05.2022 00:30:00.000 GMT+0430,32135.739,32140.787,32075.259,32091.779,0.623
26.05.2022 01:30:00.000 GMT+0430,32091.779,32091.779,32091.779,32091.779,0
26.05.2022 02:30:00.000 GMT+0430,32136.757,32147.497,32102.729,32134.769,0.1594
26.05.2022 03:30:00.000 GMT+0430,32134.697,32151.779,32084.749,32093.729,0.1607
26.05.2022 04:30:00.000 GMT+0430,32093.757,32237.267,32085.779,32227.289,0.3772
26.05.2022 05:30:00.000 GMT+0430,32228.199,32239.289,32106.739,32114.739,0.3538
